,0
1281,founding
1282,1868
1283,berkeley
1284,fueled
1285,perpetual
1286,renaissance
1287,generating
1288,unparalleled
1289,intellectual
1290,economic
1291,social
1292,value
1293,california
1294,world
1295,looking
1296,equity-minded
1297,represent
1298,full
1299,diversity
1300,california
1301,demonstrate
1302,sensitivity
1303,understanding
1304,diverse
1305,academic
1306,socioeconomic
1307,cultural
1308,identity
1309,ethnic
1310,backgrounds
1311,present
1312,community
1313,berkeley
1314,expect
1315,part
1316,inclusive
1317,innovative
1318,equity-focused
1319,community
1320,approaches
1321,higher
1322,education
1323,matter
1324,social
1325,justice
1326,requires
1327,broad
1328,collaboration
1329,among
1330,faculty
1331,staff
1332,students
1333,community
1334,partners
1335,deciding
1336,whether
1337,position
1338,berkeley
1339,strongly
1340,encouraged
1341,consider
1342,whether
1343,values
1344,align
1345,guiding
1346,values
1347,principles
1348,principles
1349,community
1350,strategic
1351,plan
1352,departmental
1353,overview
1354,berkeley
1355,believes
1356,fosters
1357,workplace
1358,environment
1359,people
1360,bring
1361,diverse
1362,skills
1363,perspectives
1364,experiences
1365,toward
1366,achieving
1367,goals
1368,process
1369,critical
1370,inquiry
1371,discovery
1372,innovation
1373,simultaneously
1374,committing
1375,making
1376,positive
1377,contributions
1378,towards
1379,betterment
1380,world
1381,addition
1382,berkeley
1383,community
1384,created
1385,endorse
1386,following
1387,values
1388,organization
1389,augment
1390,amplify
1391,campus
1392,principles
1393,champion
1394,diversity
1395,act
1396,integrity
1397,deliver
1398,innovate
1399,diversity
1400,inclusion
1401,belonging
1402,suggestions
1403,us
1404,guiding
1405,principles
1406,underlying
1407,come
1408,together
1409,develop
1410,leaders
1411,levels
1412,organization
1413,create
1414,environment
1415,unites
1416,us
1417,affirm
1418,dignity
1419,call
1420,upon
1421,leaders
1422,address
1423,critical
1424,issues
1425,integrity
1426,intention
1427,respect
1428,differences
1429,well
1430,commonalities
1431,strive
1432,uphold
1433,community
1434,free
1435,discrimination
1436,hate
1437,information
1438,security
1439,office
1440,iso
1441,berkeley
1442,coordinates
1443,risk
1444,management
1445,process
1446,uc
1447,berkeley
1448,information
1449,systems
1450,directs
1451,campus-wide
1452,efforts
1453,adequately
1454,secure
1455,institutional
1456,data
1457,iso
1458,led
1459,chief
1460,information
1461,security
1462,officer
1463,consists
1464,seven
1465,areas
1466,information
1467,security
1468,policy
1469,information
1470,security
1471,operations
1472,information
1473,security
1474,development
1475,identity
1476,access
1477,management
1478,information
1479,security
1480,assessments
1481,outreach
1482,engagement
1483,service
1484,management
1485,position
1486,part
1487,identity
1488,access
1489,management
1490,calnet
1491,reports
1492,manager
1493,incumbent
1494,researches
1495,conceptualizes
1496,plans
1497,implements
1498,complete
1499,integrated
1500,identity
1501,management
1502,technical
1503,solutions
1504,uc
1505,berkeley
1506,campus
1507,regularly
1508,works
1509,highly
1510,complex
1511,issues
1512,analysis
1513,situations
1514,data
1515,requires
1516,in-depth
1517,evaluation
1518,variable
1519,factors
1520,exercises
1521,judgment
1522,selecting
1523,methods
1524,techniques
1525,evaluation
1526,criteria
1527,obtaining
1528,results
1529,gives
1530,technical
1531,presentations
1532,associated
1533,technical
1534,teams
1535,including
1536,calnet
1537,technical
1538,steering
1539,committee
1540,campus
1541,architecture
1542,committee
1543,campus
1544,information
1545,security
1546,privacy
1547,committee
1548,uc
1549,trust
1550,working
1551,group
1552,application
1553,review
1554,date
1555,first
1556,review
1557,date
1558,september
1559,2
1560,2022
1561,remote-friendly
1562,position
1563,eligible
1564,100
1565,capability
1566,calnet
1567,seeking
1568,experienced
1569,organized
1570,collaborative
1571,technologist
1572,design
1573,develop
1574,implement
1575,support
1576,broad
1577,suite
1578,identity
1579,access
1580,management
1581,applications
1582,successful
1583,split
1584,analyzing
1585,complex
1586,data
1587,issues
1588,implementing
1589,technical
1590,solutions
1591,equally
1592,comfortable
1593,working
1594,people
1595,technology
1596,key
1597,member
1598,helping
1599,deliver
1600,complex
1601,service
1602,portfolio
1603,tackle
1604,log
1605,analysis
1606,elk
1607,schema
1608,analysis
1609,ldap
1610,data
1611,analysis
1612,postgresql
1613,interact
1614,deeply
1615,technical
1616,non-technical
1617,design
1618,develop
1619,solutions
1620,increase
1621,automation
1622,reliability
1623,calnet
1624,service
1625,delivery
1626,goal
1627,make
1628,mark
1629,core
1630,campus
1631,infrastructure
1632,creative
1633,reliable
1634,skilled
1635,expert-level
1636,knowledge
1637,system
1638,applications
1639,design
1640,implementation
1641,solid
1642,understanding
1643,managing
1644,ldap
1645,directory
1646,integration
1647,substantial
