,0
1157,us
1158,drive
1159,mission
1160,impact
1161,cyber
1162,security
1163,global
1164,level
1165,currently
1166,career
1167,manager
1168,leading
1169,projects
1170,elements
1171,multiple
1172,client
1173,engagements
1174,including
1175,service
1176,delivery
1177,development
1178,related
1179,activities
1180,alongside
1181,respected
1182,industry
1183,professionals
1184,learning
1185,using
1186,latest
1187,tools
1188,techniques
1189,identify
1190,overcome
1191,relevant
1192,pressing
1193,security
1194,issues
1195,world
1196,key
1197,assist
1198,clients
1199,aligning
1200,security
1201,management
1202,strategy
1203,goals
1204,managing
1205,access
1206,resources
1207,well
1208,enforcing
1209,privacy
1210,security
1211,policies
1212,supported
1213,strategic
1214,alliances
1215,third-party
1216,vendors
1217,experienced
1218,professionals
1219,provide
1220,broad
1221,including
1222,strategy
1223,assessment
1224,testing
1225,implementation
1226,solutions
1227,based
1228,existing
1229,knowledge
1230,ambitions
1231,could
1232,gain
1233,number
1234,teams
1235,assessing
1236,delivering
1237,foundational
1238,components
1239,teams
1240,include
1241,within
1242,identity
1243,analytics
1244,intelligence
1245,perform
1246,assessments
1247,following
1248,areas
1249,current
1250,assessments
1251,application
1252,access
1253,assessment
1254,capability
1255,maturity
1256,benchmarking
1257,assessments
1258,data
1259,analytics
1260,strategy
1261,developing
1262,strategy
1263,road
1264,map
1265,comprising
1266,operating
1267,model
1268,governance
1269,policies
1270,procedures
1271,standards
1272,identity
1273,access
1274,transformation
1275,provide
1276,clients
1277,following
1278,design
1279,architecture
1280,process
1281,design
1282,re-engineering
1283,cloud
1284,mobile
1285,apps
1286,access
1287,management
1288,access
1289,enforcement
1290,implementation
1291,access
1292,administration
1293,implementation
1294,elevated
1295,access
1296,management
1297,also
1298,help
1299,support
1300,identity
1301,access
1302,governance
1303,program
1304,management
1305,privileged
1306,access
1307,management
1308,roles
1309,rules
1310,management
1311,sod
1312,management
1313,compliance
1314,related
1315,activities
1316,skills
1317,attributes
1318,success
1319,effectively
1320,lead
1321,motivate
1322,client
1323,engagement
1324,teams
1325,provide
1326,technical
1327,leadership
1328,assessment
1329,design
1330,implementation
1331,security
1332,risk
1333,solutions
1334,foster
1335,innovative
1336,inclusive
1337,team-oriented
1338,environment
1339,play
1340,active
1341,role
1342,counselling
1343,mentoring
1344,junior
1345,consultants
1346,within
1347,firm
1348,consistently
1349,deliver
1350,quality
1351,client
1352,drive
1353,high-quality
1354,products
1355,within
1356,expected
1357,timeframes
1358,budget
1359,monitor
1360,progress
1361,manage
1362,risk
1363,ensure
1364,key
1365,stakeholders
1366,kept
1367,informed
1368,progress
1369,expected
1370,outcomes
1371,assist
1372,development
1373,opportunities
1374,use
1375,knowledge
1376,current
1377,environment
1378,industry
1379,trends
1380,identify
1381,engagement
1382,client
1383,service
1384,issues
1385,communicate
1386,information
1387,engagement
1388,client
1389,management
1390,written
1391,correspondence
1392,presentations
1393,stay
1394,abreast
1395,current
1396,industry
1397,trends
1398,relevant
1399,client
1400,qualify
1401,role
1402,must
1403,bachelor
1404,degree
1405,related
1406,field
1407,approximately
1408,5
1409,years
1410,related
1411,graduate
1412,degree
1413,approximately
1414,4
1415,years
1416,related
1417,following
1418,user
